Export Channel Data with rate of 256 samples per second.

Client: UwB - PW 	Channel Set: PI MT 1EEG-Physio-HRV FB.chs
Session Date: 2020-07-03		Session Time: 15:03:17
Start Time: 00:00:00.000		End Time: 00:00:47.688

Time,EEG-Z - 1C,EEG-Z - 1D,Event
 ,256,256, 
0.00390625000,-0.742,10.683,NM
0.00781250000,0.399,7.596,NM
0.01171875000,-6.321,13.501,NM
0.01562500000,-12.301,21.740,NM
0.01953125000,-7.525,18.010,NM
0.02343750000,-4.193,12.814,NM
0.02734375000,-2.476,11.667,NM
0.03125000000,0.311,11.700,NM
0.03515625000,3.369,11.783,NM
0.03906250000,0.751,12.815,NM
0.04296875000,-1.119,11.817,NM
0.04687500000,-1.848,10.976,NM
0.05078125000,-0.727,10.794,NM
0.05468750000,-0.609,8.256,NM
0.05859375000,-1.115,6.640,NM
0.06250000000,-0.305,5.620,NM
0.06640625000,-0.377,5.730,NM
0.07031250000,2.912,8.345,NM
0.07421875000,5.016,6.758,NM
0.07812500000,3.829,4.686,NM
0.08203125000,8.477,8.940,NM
0.08593750000,10.090,16.154,NM
0.08984375000,2.958,13.462,NM
0.09375000000,4.269,5.564,NM
0.09765625000,8.740,4.599,NM
0.10156250000,7.678,5.548,NM
0.10546875000,3.877,6.048,NM
0.10937500000,-0.189,12.274,NM
0.11328125000,-1.285,14.996,NM
0.11718750000,0.757,5.737,NM
0.12109375000,6.688,-2.741,NM
0.12500000000,10.399,-1.231,NM
0.12890625000,6.222,-4.348,NM
0.13281250000,6.476,-5.239,NM
0.13671875000,6.381,3.426,NM
0.14062500000,0.407,6.890,NM
0.14453125000,1.205,5.513,NM
0.14843750000,6.085,-0.037,NM
0.15234375000,5.287,-1.618,NM
0.15625000000,0.747,1.113,NM
0.16015625000,1.148,6.680,NM
0.16406250000,5.947,10.873,NM
0.16796875000,6.537,11.172,NM
0.17187500000,-1.934,11.282,NM
0.17578125000,-8.551,10.479,NM
0.17968750000,-7.809,14.505,NM
0.18359375000,-3.094,18.058,NM
0.18750000000,2.595,14.843,NM
0.19140625000,8.049,10.287,NM
0.19531250000,8.375,6.615,NM
0.19921875000,0.447,8.737,NM
0.20312500000,-8.368,7.115,NM
0.20703125000,-12.540,5.934,NM
0.21093750000,-6.560,16.214,NM
0.21484375000,5.358,22.886,NM
0.21875000000,7.927,15.742,NM
0.22265625000,2.528,7.289,NM
0.22656250000,-1.243,11.448,NM
0.23046875000,-5.312,19.513,NM
0.23437500000,-10.168,17.251,NM
0.23828125000,-5.772,9.762,NM
0.24218750000,3.372,11.518,NM
0.24609375000,4.740,16.702,NM
0.25000000000,3.562,13.187,NM
0.25390625000,2.831,10.890,NM
0.25781250000,2.203,11.600,NM
0.26171875000,3.453,11.565,NM
0.26562500000,0.369,11.262,NM
0.26953125000,-1.271,8.832,NM
0.27343750000,-1.576,3.862,NM
0.27734375000,-3.882,1.628,NM
0.28125000000,-5.854,6.421,NM
0.28515625000,-5.767,6.353,NM
0.28906250000,2.503,-0.169,NM
0.29296875000,7.729,-2.413,NM
0.29687500000,0.305,4.810,NM
